2026-01-24 12:38:04.337 | INFO     | 失败: 0
2026-01-24 12:38:04.337 | INFO     | ============================================================
2026-01-24 12:38:04.338 | INFO     | ============================================================
2026-01-24 12:39:23.718 | INFO     | ================================================================================
2026-01-24 12:39:23.719 | INFO     | UDP发送日志文件: f:\A-User\cliff\allin\all\风场设置\main_control\logs\udp_send_20260124.log
2026-01-24 12:39:23.719 | INFO     | ================================================================================
2026-01-24 12:39:23.719 | INFO     | FanUDPSender 初始化完成
2026-01-24 12:39:23.719 | INFO     | 电驱板起始IP: 192.168.1.101
2026-01-24 12:39:23.719 | INFO     | UDP端口: 5001
2026-01-24 12:40:07.304 | INFO     | 异步发送线程已停止
2026-01-24 12:40:07.305 | INFO     | ============================================================
2026-01-24 12:40:07.305 | INFO     | UDP发送器关闭
2026-01-24 12:40:07.306 | INFO     | ============================================================
2026-01-24 12:40:07.306 | INFO     | UDP发送统计报告
2026-01-24 12:40:07.306 | INFO     | ============================================================
2026-01-24 12:40:07.306 | INFO     | 总数据包: 0
2026-01-24 12:40:07.307 | INFO     | 成功: 0
2026-01-24 12:40:07.307 | INFO     | 失败: 0
2026-01-24 12:40:07.307 | INFO     | ============================================================
2026-01-24 12:40:07.308 | INFO     | ============================================================
2026-01-24 12:40:07.370 | INFO     | ============================================================
2026-01-24 12:40:07.372 | INFO     | UDP发送器关闭
2026-01-24 12:40:07.372 | INFO     | ============================================================
2026-01-24 12:40:07.372 | INFO     | UDP发送统计报告
2026-01-24 12:40:07.373 | INFO     | ============================================================
2026-01-24 12:40:07.373 | INFO     | 总数据包: 0
2026-01-24 12:40:07.373 | INFO     | 成功: 0
2026-01-24 12:40:07.373 | INFO     | 失败: 0
2026-01-24 12:40:07.373 | INFO     | ============================================================
2026-01-24 12:40:07.374 | INFO     | ============================================================
2026-01-24 12:43:21.350 | INFO     | ================================================================================
2026-01-24 12:43:21.351 | INFO     | UDP发送日志文件: F:\A-User\cliff\allin\all\风场设置\main_control\logs\udp_send_20260124.log
2026-01-24 12:43:21.351 | INFO     | ================================================================================
2026-01-24 12:43:21.351 | INFO     | FanUDPSender 初始化完成
2026-01-24 12:43:21.351 | INFO     | 电驱板起始IP: 192.168.1.101
2026-01-24 12:43:21.351 | INFO     | UDP端口: 5001
2026-01-24 12:43:21.352 | INFO     | ============================================================
2026-01-24 12:43:21.352 | INFO     | UDP发送器关闭
2026-01-24 12:43:21.352 | INFO     | ============================================================
2026-01-24 12:43:21.352 | INFO     | UDP发送统计报告
2026-01-24 12:43:21.352 | INFO     | ============================================================
2026-01-24 12:43:21.352 | INFO     | 总数据包: 0
2026-01-24 12:43:21.352 | INFO     | 成功: 0
2026-01-24 12:43:21.352 | INFO     | 失败: 0
2026-01-24 12:43:21.352 | INFO     | ============================================================
2026-01-24 12:43:21.352 | INFO     | ============================================================
2026-01-24 12:43:48.360 | INFO     | ================================================================================
2026-01-24 12:43:48.360 | INFO     | UDP发送日志文件: F:\A-User\cliff\allin\all\风场设置\main_control\logs\udp_send_20260124.log
2026-01-24 12:43:48.360 | INFO     | ================================================================================
2026-01-24 12:43:48.360 | INFO     | FanUDPSender 初始化完成
2026-01-24 12:43:48.360 | INFO     | 电驱板起始IP: 192.168.1.101
2026-01-24 12:43:48.360 | INFO     | UDP端口: 5001
2026-01-24 12:43:48.361 | INFO     | 异步发送线程已启动
2026-01-24 12:43:48.372 | INFO     | ============================================================
2026-01-24 12:43:48.372 | INFO     | 开始批量发送所有电驱板数据
2026-01-24 12:43:48.372 | INFO     | 网格形状: (40, 40)
2026-01-24 12:43:48.372 | INFO     | 网格数据范围: 0.0% - 99.9%
2026-01-24 12:43:48.373 | INFO     | 网格数据平均值: 50.3%
2026-01-24 12:43:48.373 | INFO     | ============================================================
2026-01-24 12:43:48.374 | INFO     | ------------------------------------------------------------
2026-01-24 12:43:48.374 | INFO     | 发送到电驱板 # 0 (192.168.1.101:5001)
2026-01-24 12:43:48.374 | INFO     |   数据包大小: 100 字节
2026-01-24 12:43:48.374 | INFO     |   序列号: 0
2026-01-24 12:43:48.374 | INFO     |   时间戳: 1769229828373 ms
2026-01-24 12:43:48.374 | INFO     |   PWM值: [618, 68, 151, 878]... (前4个)
2026-01-24 12:43:48.374 | INFO     |   PWM范围: 44 - 907
2026-01-24 12:43:48.374 | INFO     |   平均PWM: 449.0
2026-01-24 12:43:48.374 | INFO     | ------------------------------------------------------------
