2026-02-26 14:40:01.917 | INFO     | ================================================================================
2026-02-26 14:40:01.917 | INFO     | UDP发送日志文件: f:\A-User\cliff\allin\all\风场设置\main_control\logs\udp_send_20260226.log
2026-02-26 14:40:01.917 | INFO     | ================================================================================
2026-02-26 14:40:01.918 | WARNING  | 绑定到网口 192.168.1.101 失败: [WinError 10049] 在其上下文中，该请求的地址无效。
2026-02-26 14:40:01.919 | INFO     | ============================================================
2026-02-26 14:40:01.919 | INFO     | FanUDPSender 初始化完成 (新协议: 5字节包)
2026-02-26 14:40:01.919 | INFO     | 本地绑定网口: 192.168.1.101
2026-02-26 14:40:01.919 | INFO     | 电驱板起始IP: 192.168.1.1
2026-02-26 14:40:01.920 | INFO     | UDP端口: 5001
2026-02-26 14:40:01.920 | INFO     | IP范围: 192.168.1.1-100 (板ID 0-99)
2026-02-26 14:40:01.920 | INFO     | ============================================================
2026-02-26 14:40:01.920 | INFO     | 异步发送线程已启动
2026-02-26 15:01:56.752 | INFO     | 异步发送线程已停止
2026-02-26 15:01:56.752 | INFO     | UDP发送器已关闭
2026-02-26 15:01:56.813 | INFO     | UDP发送器已关闭
2026-02-26 15:02:03.094 | INFO     | ================================================================================
2026-02-26 15:02:03.094 | INFO     | UDP发送日志文件: f:\A-User\cliff\allin\all\风场设置\main_control\logs\udp_send_20260226.log
2026-02-26 15:02:03.094 | INFO     | ================================================================================
2026-02-26 15:02:03.096 | WARNING  | 绑定到网口 192.168.1.101 失败: [WinError 10049] 在其上下文中，该请求的地址无效。
2026-02-26 15:02:03.096 | INFO     | ============================================================
2026-02-26 15:02:03.096 | INFO     | FanUDPSender 初始化完成 (新协议: 5字节包)
2026-02-26 15:02:03.096 | INFO     | 本地绑定网口: 192.168.1.101
2026-02-26 15:02:03.096 | INFO     | 电驱板起始IP: 192.168.1.1
2026-02-26 15:02:03.096 | INFO     | UDP端口: 5001
2026-02-26 15:02:03.097 | INFO     | IP范围: 192.168.1.1-100 (板ID 0-99)
2026-02-26 15:02:03.097 | INFO     | ============================================================
2026-02-26 15:02:03.098 | INFO     | 异步发送线程已启动
2026-02-26 16:07:46.260 | INFO     | 异步发送线程已停止
2026-02-26 16:07:46.260 | INFO     | UDP发送器已关闭
2026-02-26 16:07:46.339 | INFO     | UDP发送器已关闭
2026-02-26 16:07:54.011 | INFO     | ================================================================================
2026-02-26 16:07:54.012 | INFO     | UDP发送日志文件: f:\A-User\cliff\allin\all\风场设置\main_control\logs\udp_send_20260226.log
2026-02-26 16:07:54.012 | INFO     | ================================================================================
2026-02-26 16:07:54.014 | WARNING  | 绑定到网口 192.168.1.101 失败: [WinError 10049] 在其上下文中，该请求的地址无效。
2026-02-26 16:07:54.014 | INFO     | ============================================================
2026-02-26 16:07:54.015 | INFO     | FanUDPSender 初始化完成 (新协议: 5字节包)
2026-02-26 16:07:54.015 | INFO     | 本地绑定网口: 192.168.1.101
2026-02-26 16:07:54.015 | INFO     | 电驱板起始IP: 192.168.1.1
2026-02-26 16:07:54.015 | INFO     | UDP端口: 5001
2026-02-26 16:07:54.016 | INFO     | IP范围: 192.168.1.1-100 (板ID 0-99)
2026-02-26 16:07:54.016 | INFO     | ============================================================
2026-02-26 16:07:54.017 | INFO     | 异步发送线程已启动
2026-02-26 16:23:34.148 | INFO     | 异步发送线程已停止
2026-02-26 16:23:34.148 | INFO     | UDP发送器已关闭
2026-02-26 16:23:34.203 | INFO     | UDP发送器已关闭
